game_id,eventnum,eventmsgtype,eventmsgactiontype,period,wctimestring,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,person1type,player1_id,player1_name,player1_team_id,player1_team_city,player1_team_nickname,player1_team_abbreviation,person2type,player2_id,player2_name,player2_team_id,player2_team_city,player2_team_nickname,player2_team_abbreviation,person3type,player3_id,player3_name,player3_team_id,player3_team_city,player3_team_nickname,player3_team_abbreviation,video_available_flag,home_team_abbrev,away_team_abbrev,home_team_id,away_team_id,game_date,season,event_team,event_type_de,shot_type_de,shot_made,is_block,shot_type,seconds_elapsed,event_length,is_three,points_made,is_o_rebound,is_d_rebound,is_turnover,is_steal,foul_type,is_putback,home_player_1,home_player_1_id,home_player_2,home_player_2_id,home_player_3,home_player_3_id,home_player_4,home_player_4_id,home_player_5,home_player_5_id,away_player_1,away_player_1_id,away_player_2,away_player_2_id,away_player_3,away_player_3_id,away_player_4,away_player_4_id,away_player_5,away_player_5_id
0021800002,196,1,1,2,11:31 PM,11:21,Thompson 6' Jump Shot (5 PTS),,,25 - 33,8,4.0,202691,Klay Thompson,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,,1,GSW,OKC,1610612744,1610612760,2018-10-16,2019,GSW,shot,,1.0,0,Jump Shot,759,19.0,0,2,0,0,0,0,,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
0021800002,199,6,2,2,11:31 PM,11:21,,,Noel S.FOUL (P1.T1) (Z.Zarba),,,5.0,203457,Nerlens Noel,1610612760.0,Oklahoma City,Thunder,OKC,4,202691,Klay Thompson,1610612744.0,Golden State,Warriors,GSW,1,0,,,,,,1,GSW,OKC,1610612744,1610612760,2018-10-16,2019,OKC,foul,,,0,,759,0.0,0,0,0,0,0,0,shooting,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
0021800002,201,3,10,2,11:31 PM,11:21,Thompson Free Throw 1 of 1 (6 PTS),,,25 - 34,9,4.0,202691,Klay Thompson,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,,0,GSW,OKC,1610612744,1610612760,2018-10-16,2019,GSW,free-throw,,1.0,0,Free Throw 1 of 1,759,0.0,0,1,0,0,0,0,,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
0021800002,202,2,47,2,11:32 PM,11:00,,,MISS Grant 6' Turnaround Jump Shot,,,5.0,203924,Jerami Grant,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1,GSW,OKC,1610612744,1610612760,2018-10-16,2019,OKC,missed_shot,,0.0,0,Turnaround Jump Shot,780,21.0,0,0,0,0,0,0,,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
0021800002,203,4,0,2,11:32 PM,10:58,Green REBOUND (Off:0 Def:6),,,,,4.0,203110,Draymond Green,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,,1,GSW,OKC,1610612744,1610612760,2018-10-16,2019,GSW,rebound,,,0,,782,2.0,0,0,0,1,0,0,,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
0021800002,204,1,1,2,11:32 PM,10:55,Cook 26' 3PT Jump Shot (3 PTS) (Iguodala 2 AST),,,25 - 37,12,4.0,1626188,Quinn Cook,1610612744.0,Golden State,Warriors,GSW,4,2738,Andre Iguodala,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,1,GSW,OKC,1610612744,1610612760,2018-10-16,2019,GSW,shot,,1.0,0,Jump Shot,785,3.0,1,3,0,0,0,0,,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
0021800002,206,2,1,2,11:32 PM,10:40,,,MISS Grant 26' 3PT Jump Shot,,,5.0,203924,Jerami Grant,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,0,0,,,,,,1,GSW,OKC,1610612744,1610612760,2018-10-16,2019,OKC,missed_shot,,0.0,0,Jump Shot,800,15.0,1,0,0,0,0,0,,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
0021800002,207,4,0,2,11:32 PM,10:37,Cook REBOUND (Off:0 Def:1),,,,,4.0,1626188,Quinn Cook,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,,1,GSW,OKC,1610612744,1610612760,2018-10-16,2019,GSW,rebound,,,0,,803,3.0,0,0,0,1,0,0,,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
0021800002,209,5,1,2,11:32 PM,10:31,Green Bad Pass Turnover (P3.T7),,Noel STEAL (1 STL),,,4.0,203110,Draymond Green,1610612744.0,Golden State,Warriors,GSW,5,203457,Nerlens Noel,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,1,GSW,OKC,1610612744,1610612760,2018-10-16,2019,GSW,turnover,,,0,,809,6.0,0,0,0,0,1,1,,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
0021800002,211,1,76,2,11:32 PM,10:28,,,Felton 4' Running Finger Roll Layup (4 PTS) (Grant 1 AST),27 - 37,10,5.0,101109,Raymond Felton,1610612760.0,Oklahoma City,Thunder,OKC,5,203924,Jerami Grant,1610612760.0,Oklahoma City,Thunder,OKC,0,0,,,,,,1,GSW,OKC,1610612744,1610612760,2018-10-16,2019,OKC,shot,,1.0,0,Running Finger Roll Layup Shot,812,3.0,0,2,0,0,0,0,,0,Draymond Green,203110,Klay Thompson,202691,Andre Iguodala,2738,Quinn Cook,1626188,Shaun Livingston,2733,Jerami Grant,203924,Alex Abrines,203518,Raymond Felton,101109,Nerlens Noel,203457,Hamidou Diallo,1628977
